id,title,category,description,price,icon
0,AcousticPro Wireless Noise-Canceling Headphones,Audio,High-fidelity bluetooth wireless over-ear headphones with active noise cancellation spatial audio 30-hour battery life and memory foam earcups.,299.99,🎧
1,SoundWave Portable Bluetooth Speaker,Audio,Compact waterproof outdoor wireless bluetooth speaker with deep bass 360-degree sound 20-hour playtime and durable rubberized housing.,89.99,🔊
2,StudioBeat In-Ear Wireless Earbuds,Audio,True wireless stereo earbuds with active noise isolation touch controls IPX7 water resistance and wireless charging case.,149.99,🎵
3,QuantumFit Smart Fitness Watch,Wearables,Advanced health tracking smartwatch with AMOLED display heart rate monitor GPS sleep tracking and blood oxygen sensor.,199.99,⌚
4,AuraRing Smart Health Tracker,Wearables,Discreet lightweight titanium smart ring tracking sleep readiness recovery heart rate variability and daily activity.,279.99,💍
5,VisionBand Pulse Fitness Tracker,Wearables,Slim lightweight fitness wristband with continuous pulse monitoring step counter smartphone notifications and 10-day battery life.,59.99,🏃
6,HomeHub AI Smart Assistant Display,Smart Home,8-inch HD smart display touch screen with built-in voice assistant smart home camera control calendar video calling and music streaming.,129.99,🖥️
7,LumiGlow Smart Color LED Desk Lamp,Smart Home,App-controlled RGB dimmable smart LED desk lamp with wireless smartphone charging pad eye-care lighting modes and voice control integration.,69.99,💡
8,CleanBot Ultra Robot Vacuum Cleaner,Smart Home,Robotic vacuum cleaner with LiDAR laser navigation automatic dirt disposal strong suction mapping and carpet booster technology.,449.99,🤖
9,ProDesk Ergonomic Wireless Keyboard,Accessories,Low-profile ergonomic mechanical wireless keyboard with tactile switches multi-device Bluetooth connectivity and customizable RGB backlighting.,129.99,⌨️
10,PrecisionTrack Wireless Ergonomic Mouse,Accessories,Vertical ergonomic wireless mouse with adjustable DPI precision optical tracking rechargeable battery and customizable thumb buttons.,64.99,🖱️
11,UltraView 27-inch 4K USB-C Monitor,Accessories,27-inch IPS 4K UHD professional monitor with USB-C power delivery 99% sRGB color accuracy height adjustable stand and HDR support.,399.99,🖥️
12,CyberShield Biometric USB Flash Drive,Storage,High-speed USB 3.2 flash drive with hardware AES 256-bit encryption and fingerprint scanner biometric access protection.,79.99,💾
13,PowerVault 20000mAh Magnetic Power Bank,Accessories,High-capacity fast charging portable magnetic wireless power bank with dual USB-C Power Delivery ports and LED battery status indicator.,54.99,🔋
14,AeroBreeze Smart Air Purifier,Smart Home,HEPA filter smart room air purifier removing allergens dust odor with real-time air quality sensor and quiet sleep mode.,159.99,🌬️
